,FTHG,FTAG,results,predicted_results,true_false
0,4,1,H,H,true
1,0,5,A,A,false
2,1,1,D,H,false
3,3,0,H,H,true
4,0,0,A,A,false
5,0,3,A,H,false
6,3,1,H,H,true
7,0,0,A,H,false
8,0,1,A,H,false
9,4,0,H,H,true
10,2,1,H,H,true
11,1,2,D,H,false
12,1,1,D,A,false
13,1,0,D,H,false
14,3,1,H,H,true
15,1,2,D,A,false
16,2,2,H,H,true
17,1,0,D,H,false
18,1,1,D,H,false
19,1,1,D,H,false
20,2,0,H,H,true
21,2,3,H,H,true
22,0,2,A,H,false
23,1,2,D,H,false
24,1,2,D,H,false
25,1,3,D,A,false
26,3,1,H,H,true
27,1,3,D,A,false
28,0,1,A,H,false
29,1,1,D,H,false
30,1,1,D,H,false
31,2,2,H,H,true
32,1,0,D,H,false
33,3,1,H,H,true
34,4,0,H,H,true
35,1,1,D,A,false
36,2,0,H,H,true
37,0,3,A,H,false
38,3,2,H,H,true
39,2,2,H,H,true
,,,,,16
